filename,entropy,size_kb,extension,label
hidden_208.exe,8.36,42.84,exe,ransomware
doc_209.docx,3.33,26.44,docx,benign
hidden_210.exe,8.45,42.25,exe,ransomware
ransom_211.docx,6.71,30.58,docx,ransomware
ransom_212.docx,7.85,31.24,docx,ransomware
image_213.jpg,1.3,24.16,jpg,benign
hidden_214.exe,8.35,44.82,exe,ransomware
worm_215.exe,7.65,36.95,exe,ransomware
invoice_216.pdf,4.86,13.05,pdf,benign
hidden_217.exe,8.49,40.98,exe,ransomware
doc_218.docx,3.77,24.61,docx,benign
image_219.jpg,2.06,22.49,jpg,benign
virus_220.exe,7.6,48.73,exe,ransomware
worm_221.exe,8.5,38.94,exe,ransomware
normal_222.txt,3.46,2.53,txt,benign
normal_223.txt,3.32,2.53,txt,benign
ransom_224.docx,6.65,29.12,docx,ransomware
worm_225.exe,8.62,40.26,exe,ransomware
crypto_226.exe,8.29,35.48,exe,ransomware
normal_227.txt,3.47,2.44,txt,benign
text_228.txt,4.01,4.59,txt,benign
worm_229.exe,8.5,40.53,exe,ransomware
crypto_230.exe,8.38,37.25,exe,ransomware
doc_231.docx,3.18,27.57,docx,benign
ransom_232.docx,7.36,26.56,docx,ransomware
worm_233.exe,8.17,39.34,exe,ransomware
ransom_234.docx,7.09,29.15,docx,ransomware
crypto_235.exe,8.62,37.99,exe,ransomware
normal_236.txt,3.52,5.07,txt,benign
hidden_237.exe,8.29,43.69,exe,ransomware
image_238.jpg,1.87,17.51,jpg,benign
crypto_239.exe,8.36,37.75,exe,ransomware
ransom_240.docx,7.21,26.36,docx,ransomware
image_241.jpg,2.43,17.57,jpg,benign
invoice_242.pdf,5.34,14.39,pdf,benign
hidden_243.exe,7.91,46.59,exe,ransomware
ransom_244.docx,7.61,29.2,docx,ransomware
worm_245.exe,7.44,39.44,exe,ransomware
worm_246.exe,8.02,45.02,exe,ransomware
doc_247.docx,3.57,25.25,docx,benign
hidden_248.exe,8.2,43.28,exe,ransomware
image_249.jpg,2.27,19.91,jpg,benign
worm_250.exe,8.47,38.58,exe,ransomware
normal_251.txt,3.98,3.55,txt,benign
ransom_252.docx,7.23,28.69,docx,ransomware
ransom_253.docx,7.55,30.44,docx,ransomware
normal_254.txt,3.29,3.08,txt,benign
image_255.jpg,2.36,23.87,jpg,benign
invoice_256.pdf,5.53,11.78,pdf,benign
virus_257.exe,7.62,51.98,exe,ransomware
text_258.txt,4.16,2.98,txt,benign
ransom_259.docx,7.01,25.55,docx,ransomware
text_260.txt,3.78,1.14,txt,benign
ransom_261.docx,7.34,28.2,docx,ransomware
doc_262.docx,3.63,24.13,docx,benign
ransom_263.docx,7.49,32.3,docx,ransomware
normal_264.txt,3.24,4.17,txt,benign
virus_265.exe,8.17,48.2,exe,ransomware
text_266.txt,3.97,2.47,txt,benign
text_267.txt,3.96,3.9,txt,benign
text_268.txt,3.96,3.34,txt,benign
invoice_269.pdf,4.79,14.7,pdf,benign
crypto_270.exe,8.38,39.3,exe,ransomware
worm_271.exe,7.75,40.97,exe,ransomware
virus_272.exe,7.42,54.27,exe,ransomware
normal_273.txt,3.51,6.83,txt,benign
image_274.jpg,2.32,18.72,jpg,benign
invoice_275.pdf,5.33,13.14,pdf,benign
ransom_276.docx,7.88,26.55,docx,ransomware
text_277.txt,3.75,1.83,txt,benign
crypto_278.exe,8.04,37.19,exe,ransomware
worm_279.exe,8.3,41.69,exe,ransomware
worm_280.exe,7.9,38.28,exe,ransomware
text_281.txt,3.9,3.59,txt,benign
doc_282.docx,3.51,22.64,docx,benign
image_283.jpg,1.72,18.01,jpg,benign
invoice_284.pdf,5.32,11.06,pdf,benign
crypto_285.exe,7.27,42.75,exe,ransomware
hidden_286.exe,8.47,45.92,exe,ransomware
virus_287.exe,8.29,52.26,exe,ransomware
hidden_288.exe,8.13,43.24,exe,ransomware
doc_289.docx,3.74,25.98,docx,benign
invoice_290.pdf,5.35,16.68,pdf,benign
worm_291.exe,7.95,41.98,exe,ransomware
virus_292.exe,7.69,54.14,exe,ransomware
ransom_293.docx,7.15,28.29,docx,ransomware
invoice_294.pdf,5.57,11.58,pdf,benign
hidden_295.exe,8.33,43.98,exe,ransomware
virus_296.exe,7.61,49.63,exe,ransomware
doc_297.docx,3.8,26.5,docx,benign
crypto_298.exe,8.58,40.14,exe,ransomware
doc_299.docx,3.96,25.04,docx,benign
image_300.jpg,1.9,24.35,jpg,benign
normal_301.txt,3.27,0.31,txt,benign
invoice_302.pdf,5.23,11.51,pdf,benign
doc_303.docx,2.6,21.56,docx,benign
worm_304.exe,8.58,41.86,exe,ransomware
image_305.jpg,2.15,17.96,jpg,benign
hidden_306.exe,8.17,46.36,exe,ransomware
virus_307.exe,7.59,50.18,exe,ransomware
image_308.jpg,1.9,22.97,jpg,benign
worm_309.exe,8.72,42.73,exe,ransomware
image_310.jpg,1.9,17.24,jpg,benign
image_311.jpg,1.91,18.76,jpg,benign
text_312.txt,4.2,0.5,txt,benign
hidden_313.exe,8.72,43.4,exe,ransomware
invoice_314.pdf,5.31,14.45,pdf,benign
doc_315.docx,3.41,24.86,docx,benign
crypto_316.exe,8.76,42.66,exe,ransomware
normal_317.txt,3.09,2.56,txt,benign
image_318.jpg,1.86,20.43,jpg,benign
ransom_319.docx,7.2,31.82,docx,ransomware
hidden_320.exe,8.37,46.57,exe,ransomware
text_321.txt,4.09,3.57,txt,benign
worm_322.exe,7.7,40.61,exe,ransomware
normal_323.txt,3.59,3.62,txt,benign
hidden_324.exe,8.33,40.87,exe,ransomware
hidden_325.exe,8.24,45.71,exe,ransomware
hidden_326.exe,8.31,45.76,exe,ransomware
image_327.jpg,2.22,20.17,jpg,benign
doc_328.docx,2.8,27.04,docx,benign
crypto_329.exe,8.74,36.44,exe,ransomware
text_330.txt,3.74,2.85,txt,benign
doc_331.docx,3.18,25.1,docx,benign
doc_332.docx,3.21,25.04,docx,benign
ransom_333.docx,7.11,28.74,docx,ransomware
ransom_334.docx,7.05,26.89,docx,ransomware
doc_335.docx,3.61,23.53,docx,benign
crypto_336.exe,8.29,42.01,exe,ransomware
crypto_337.exe,8.42,40.26,exe,ransomware
doc_338.docx,3.15,24.87,docx,benign
normal_339.txt,3.93,4.78,txt,benign
virus_340.exe,8.05,49.71,exe,ransomware
invoice_341.pdf,4.8,16.31,pdf,benign
virus_342.exe,7.89,49.86,exe,ransomware
doc_343.docx,2.95,28.04,docx,benign
hidden_344.exe,7.92,42.43,exe,ransomware
doc_345.docx,3.28,25.91,docx,benign
image_346.jpg,2.35,20.89,jpg,benign
invoice_347.pdf,5.24,11.52,pdf,benign
normal_348.txt,3.57,2.83,txt,benign
image_349.jpg,2.55,18.96,jpg,benign
image_350.jpg,2.31,14.99,jpg,benign
normal_351.txt,3.26,4.6,txt,benign
invoice_352.pdf,4.8,13.79,pdf,benign
invoice_353.pdf,4.91,15.06,pdf,benign
invoice_354.pdf,5.22,13.76,pdf,benign
ransom_355.docx,7.26,28.45,docx,ransomware
worm_356.exe,8.21,41.63,exe,ransomware
text_357.txt,4.0,5.09,txt,benign
doc_358.docx,3.28,22.2,docx,benign
normal_359.txt,4.03,1.99,txt,benign
doc_360.docx,3.92,26.52,docx,benign
ransom_361.docx,7.09,31.28,docx,ransomware
virus_362.exe,8.13,52.09,exe,ransomware
ransom_363.docx,7.0,26.4,docx,ransomware
text_364.txt,3.61,1.86,txt,benign
worm_365.exe,8.41,40.13,exe,ransomware
worm_366.exe,8.55,41.43,exe,ransomware
ransom_367.docx,7.6,32.82,docx,ransomware
image_368.jpg,2.21,24.3,jpg,benign
normal_369.txt,3.46,4.77,txt,benign
invoice_370.pdf,5.15,16.48,pdf,benign
virus_371.exe,8.11,53.61,exe,ransomware
crypto_372.exe,8.4,41.85,exe,ransomware
crypto_373.exe,8.11,40.37,exe,ransomware
image_374.jpg,1.62,19.25,jpg,benign
doc_375.docx,3.55,22.5,docx,benign
image_376.jpg,2.2,22.55,jpg,benign
normal_377.txt,3.59,6.46,txt,benign
worm_378.exe,8.17,42.13,exe,ransomware
text_379.txt,3.95,7.43,txt,benign
doc_380.docx,3.94,25.1,docx,benign
ransom_381.docx,7.14,28.93,docx,ransomware
text_382.txt,4.08,2.38,txt,benign
invoice_383.pdf,5.0,13.43,pdf,benign
ransom_384.docx,7.43,31.77,docx,ransomware
image_385.jpg,2.55,21.48,jpg,benign
hidden_386.exe,8.17,39.01,exe,ransomware
invoice_387.pdf,5.31,8.46,pdf,benign
ransom_388.docx,7.65,29.34,docx,ransomware
invoice_389.pdf,5.18,13.56,pdf,benign
doc_390.docx,3.62,25.27,docx,benign
ransom_391.docx,6.6,27.22,docx,ransomware
doc_392.docx,3.34,21.22,docx,benign
ransom_393.docx,7.38,28.03,docx,ransomware
text_394.txt,3.65,3.58,txt,benign
ransom_395.docx,7.21,26.93,docx,ransomware
image_396.jpg,1.32,20.98,jpg,benign
ransom_397.docx,7.37,30.88,docx,ransomware
invoice_398.pdf,5.34,14.39,pdf,benign
crypto_399.exe,8.36,36.97,exe,ransomware
image_400.jpg,2.07,20.67,jpg,benign
crypto_401.exe,7.9,34.99,exe,ransomware
normal_402.txt,3.49,3.86,txt,benign
invoice_403.pdf,4.86,14.72,pdf,benign
hidden_404.exe,8.44,44.43,exe,ransomware
image_405.jpg,2.17,18.27,jpg,benign
worm_406.exe,8.18,38.19,exe,ransomware
worm_407.exe,8.23,40.82,exe,ransomware
invoice_408.pdf,5.06,12.03,pdf,benign
hidden_409.exe,9.09,43.49,exe,ransomware
crypto_410.exe,8.94,38.94,exe,ransomware
virus_411.exe,7.94,52.48,exe,ransomware
invoice_412.pdf,4.99,14.64,pdf,benign
crypto_413.exe,8.33,38.78,exe,ransomware
doc_414.docx,3.56,26.58,docx,benign
normal_415.txt,3.5,2.49,txt,benign
virus_416.exe,7.98,54.0,exe,ransomware
ransom_417.docx,7.9,27.95,docx,ransomware
crypto_418.exe,8.32,40.09,exe,ransomware
normal_419.txt,2.98,3.53,txt,benign
normal_420.txt,3.43,6.26,txt,benign
normal_421.txt,3.37,6.05,txt,benign
worm_422.exe,8.44,39.68,exe,ransomware
hidden_423.exe,8.48,39.71,exe,ransomware
doc_424.docx,3.44,23.57,docx,benign
invoice_425.pdf,5.68,13.84,pdf,benign
hidden_426.exe,8.01,41.24,exe,ransomware
invoice_427.pdf,5.19,13.77,pdf,benign
hidden_428.exe,8.37,41.95,exe,ransomware
ransom_429.docx,6.84,33.03,docx,ransomware
text_430.txt,3.97,2.63,txt,benign
image_431.jpg,1.57,17.99,jpg,benign
crypto_432.exe,8.28,41.88,exe,ransomware
virus_433.exe,7.84,49.1,exe,ransomware
virus_434.exe,8.02,50.51,exe,ransomware
crypto_435.exe,8.19,40.17,exe,ransomware
virus_436.exe,7.43,48.68,exe,ransomware
worm_437.exe,8.22,41.17,exe,ransomware
doc_438.docx,3.51,25.9,docx,benign
text_439.txt,4.01,0.32,txt,benign
worm_440.exe,7.77,34.57,exe,ransomware
hidden_441.exe,8.08,44.34,exe,ransomware
text_442.txt,4.18,5.51,txt,benign
doc_443.docx,3.29,26.3,docx,benign
text_444.txt,4.32,2.99,txt,benign
doc_445.docx,2.98,24.77,docx,benign
virus_446.exe,7.96,47.77,exe,ransomware
ransom_447.docx,7.51,30.65,docx,ransomware
ransom_448.docx,7.03,29.14,docx,ransomware
text_449.txt,3.54,4.07,txt,benign
invoice_450.pdf,5.42,12.95,pdf,benign
invoice_451.pdf,4.89,11.97,pdf,benign
text_452.txt,4.13,-0.56,txt,benign
normal_453.txt,4.08,3.08,txt,benign
invoice_454.pdf,5.89,11.15,pdf,benign
crypto_455.exe,8.2,40.38,exe,ransomware
virus_456.exe,8.24,52.11,exe,ransomware
text_457.txt,3.89,3.45,txt,benign
doc_458.docx,3.55,25.09,docx,benign
hidden_459.exe,8.01,41.86,exe,ransomware
doc_460.docx,3.75,26.36,docx,benign
worm_461.exe,7.85,40.33,exe,ransomware
invoice_462.pdf,5.16,16.06,pdf,benign
doc_463.docx,3.14,23.02,docx,benign
text_464.txt,3.65,1.2,txt,benign
crypto_465.exe,8.6,39.94,exe,ransomware
virus_466.exe,7.49,50.58,exe,ransomware
text_467.txt,3.66,2.46,txt,benign
invoice_468.pdf,5.64,14.25,pdf,benign
image_469.jpg,2.27,19.17,jpg,benign
worm_470.exe,8.42,43.11,exe,ransomware
crypto_471.exe,8.35,39.35,exe,ransomware
image_472.jpg,1.87,24.29,jpg,benign
doc_473.docx,3.34,23.65,docx,benign
image_474.jpg,1.66,20.88,jpg,benign
invoice_475.pdf,5.23,12.72,pdf,benign
invoice_476.pdf,5.68,16.05,pdf,benign
invoice_477.pdf,5.18,13.55,pdf,benign
image_478.jpg,2.14,21.59,jpg,benign
normal_479.txt,3.2,3.19,txt,benign
normal_480.txt,3.69,4.42,txt,benign
crypto_481.exe,9.18,39.22,exe,ransomware
image_482.jpg,1.91,25.18,jpg,benign
image_483.jpg,2.03,21.18,jpg,benign
worm_484.exe,8.56,42.75,exe,ransomware
normal_485.txt,3.88,5.98,txt,benign
crypto_486.exe,8.54,37.05,exe,ransomware
worm_487.exe,8.01,36.76,exe,ransomware
normal_488.txt,3.54,7.29,txt,benign
normal_489.txt,3.54,5.25,txt,benign
worm_490.exe,8.14,42.68,exe,ransomware
virus_491.exe,8.1,48.57,exe,ransomware
worm_492.exe,7.95,42.13,exe,ransomware
worm_493.exe,7.66,44.62,exe,ransomware
hidden_494.exe,8.15,41.03,exe,ransomware
virus_495.exe,8.02,48.44,exe,ransomware
image_496.jpg,2.01,20.27,jpg,benign
invoice_497.pdf,5.49,13.22,pdf,benign
invoice_498.pdf,4.58,12.88,pdf,benign
ransom_499.docx,6.86,30.42,docx,ransomware
